folder,latitude,longitude,date,microplastic_concentration,NDVI,NDWI,NDCI,FDI,NDPI,BLUE,GREEN,RED,REDEDGE1,REDEDGE2,REDEDGE3,NIR_10m,NIR_20m,SWIR1,SWIR2
polygon_11.55_-72.91,11.55,-72.91,2024-12-24,1.85,0.03672846570534838,-0.01445029373617146,0.04133669031815068,-0.9448233768215457,0.3454489967193104,0.6804,0.6412,0.6132,0.6661,0.6356,0.6164,0.66,0.6029,0.2983,0.3432
polygon_11.56_-72.93,11.56,-72.93,2024-12-24,0.7,0.028336003662165155,-0.00764476997024488,0.041245136186770504,0.047623407339589585,0.34212252994583037,0.5944,0.5716,0.5484,0.5956,0.5689,0.5532,0.5804,0.5422,0.2688,0.3059
polygon_11.57_-72.95,11.57,-72.95,2024-12-24,0.48,0.01533531700617985,0.0019684138246738314,0.03739986266880302,-0.96069275959411,0.3305867093919279,0.5232,0.5048,0.4876,0.5255,0.5025,0.488,0.5028,0.4812,0.2453,0.2754
polygon_11.58_-72.97,11.58,-72.97,2024-12-24,0.42,0.00920119020370791,0.007400625619897738,0.036240177004654095,0.0366369115739682,0.3247272449835965,0.5072,0.4892,0.4732,0.5088,0.4843,0.4575,0.482,0.4456,0.2412,0.2657
polygon_11.55_-72.91,11.55,-72.91,2025-01-24,1.76,0.05037003128099493,-0.11566338597695891,0.003906309605554215,0.48952468146791794,-0.1422446021210041,0.246,0.2669,0.3044,0.3071,0.30905,0.31295,0.3367,0.3345,0.40535,0.38785000000000003
polygon_11.56_-72.93,11.56,-72.93,2025-01-24,0.69,-0.14225986114290073,0.3118333714808881,-0.04762340733958953,0.001327534905012584,0.1746089875638972,0.2384,0.2551,0.1782,0.16199999999999998,0.13524999999999998,0.13475,0.1338,0.1306,0.12519999999999998,0.1231
polygon_11.57_-72.95,11.57,-72.95,2025-01-24,0.38,-0.102891584649424,0.3015793087663081,-0.033417257953765156,-0.4993972686350805,0.11856260013733122,0.2303,0.2354,0.1553,0.14525,0.12969999999999998,0.12995,0.1263,0.12680000000000002,0.12235,0.12015
polygon_11.58_-72.97,11.58,-72.97,2025-01-24,0.48,-0.08274967574578468,0.2902571145189593,-0.03131151293202106,-0.49958037689784085,0.09367513542381933,0.2331,0.2293,0.1487,0.13955,0.1286,0.1296,0.12585,0.1266,0.1231,0.12079999999999999
polygon_11.55_-72.91,11.55,-72.91,2025-02-24,1.61,0.04533455405508513,-0.07905699244678421,0.019729915312428403,0.9878233005264363,-0.14439612420843828,0.3014,0.3088,0.3304,0.3437,0.343,0.3646,0.3618,0.3803,0.4419,0.4183
polygon_11.56_-72.93,11.56,-72.93,2025-02-24,0.65,-0.06776531624322879,0.21556420233463025,-0.006851300831616669,0.0008087281605249075,0.08552681773098336,0.2466,0.2292,0.1694,0.1671,0.156,0.1593,0.1479,0.1511,0.1427,0.135
polygon_11.57_-72.95,11.57,-72.95,2025-02-24,0.51,-0.022842755779354573,0.0748760204470893,0.03697261005569552,0.011978332188906649,0.08039978637369338,0.944,0.8352,0.7524,0.8102,0.7477,0.7152,0.7188,0.6886,0.6404,0.6274
polygon_11.58_-72.97,11.58,-72.97,2025-02-24,0.46,-0.0445716029602502,0.12233157854581522,0.009719996948195586,0.0016327153429465113,0.06926070038910503,0.282,0.2798,0.2392,0.2439,0.2309,0.2246,0.2188,0.2144,0.2082,0.2037
polygon_11.55_-72.91,11.55,-72.91,2025-03-24,1.53,0.01709010452429993,-0.09501792935072861,-0.033630884260318905,0.49120317387655454,-0.08354314488441289,0.308,0.3346,0.391,0.3657,0.36419999999999997,0.37105,0.40459999999999996,0.38825,0.46235,0.43484999999999996
polygon_11.56_-72.93,11.56,-72.93,2025-03-24,0.69,-0.09515526054779888,0.2310368505378806,-0.022674906538490858,-0.49958037689784085,0.1030746929121843,0.2632,0.2774,0.2097,0.2004,0.1807,0.18059999999999998,0.17325,0.17704999999999999,0.17049999999999998,0.16265000000000002
polygon_11.57_-72.95,11.57,-72.95,2025-03-24,0.32,-0.04960708018616011,0.19214160372320133,-0.012069886320286827,-0.9992523079270619,0.06420996414129854,0.25529999999999997,0.2533,0.1896,0.1851,0.17465,0.17359999999999998,0.17170000000000002,0.1714,0.16670000000000001,0.15810000000000002
polygon_11.58_-72.97,11.58,-72.97,2025-03-24,0.44,-0.052262149996185225,0.1847104600595102,0.0010681315327687457,-0.5006027313649195,0.03944457160296022,0.2456,0.23349999999999999,0.1768,0.17709999999999998,0.16665,0.16605,0.15910000000000002,0.1642,0.16294999999999998,0.15575
polygon_11.55_-72.91,11.55,-72.91,2025-04-24,1.95,0.039302154065257756,-0.01940438951196566,-0.01436891228605582,0.3327941812263167,-0.041652043437349,0.3928,0.3720666666666667,0.3560666666666667,0.3449,0.3334333333333333,0.33923333333333333,0.385,0.3417666666666667,0.38843333333333335,0.34993333333333326
polygon_11.56_-72.93,11.56,-72.93,2025-04-24,0.6,-0.061641362122021315,0.16022481625594462,-0.00037130286615294494,0.3312377609928537,0.03657587548638134,0.3171333333333333,0.312,0.2605,0.26203333333333334,0.24126666666666666,0.24063333333333334,0.2305,0.23786666666666667,0.2443333333333333,0.23786666666666667
polygon_11.57_-72.95,11.57,-72.95,2025-04-24,0.4,-0.04041097632308436,0.1457084000915542,0.011245899137865223,-0.3340149029780524,0.03544670786602581,0.3837333333333333,0.36660000000000004,0.303,0.3103333333333333,0.28846666666666665,0.2862,0.27706666666666663,0.2812,0.28150000000000003,0.26530000000000004
polygon_11.58_-72.97,11.58,-72.97,2025-04-24,0.42,0.0036469062333104687,0.11466137687240911,0.030736756440578866,-0.33286538999516796,-0.0028941278197401146,0.3436666666666666,0.30226666666666663,0.2386,0.25520000000000004,0.2403666666666667,0.2358,0.24433333333333332,0.23396666666666666,0.24116666666666667,0.2351
